Area,year,age_class,year_class,mean,q5,q95,Lat_degrees,Long_degrees
Holmön,2010,3,2007,0.31,0.27,0.36,63.6815,20.87533
Holmön,2010,4,2006,0.12,0.09,0.15,63.6815,20.87533
Holmön,2010,5,2005,0.01,0,0.01,63.6815,20.87533
Holmön,2010,plusgroup,2004,0.03,0.02,0.04,63.6815,20.87533
Holmön,2011,1,2010,0.41,0.36,0.47,63.6815,20.87533
Holmön,2011,2,2009,0.22,0.18,0.26,63.6815,20.87533
Holmön,2011,3,2008,0.14,0.12,0.17,63.6815,20.87533
Holmön,2011,4,2007,0.18,0.14,0.21,63.6815,20.87533
Holmön,2011,5,2006,0.04,0.03,0.05,63.6815,20.87533
Holmön,2011,plusgroup,2005,0.01,0.01,0.02,63.6815,20.87533
Holmön,2012,1,2011,0.37,0.32,0.44,63.6815,20.87533
Holmön,2012,2,2010,0.32,0.26,0.37,63.6815,20.87533
Holmön,2012,3,2009,0.16,0.13,0.19,63.6815,20.87533
Holmön,2012,4,2008,0.08,0.06,0.1,63.6815,20.87533
Holmön,2012,5,2007,0.06,0.04,0.08,63.6815,20.87533
Holmön,2012,plusgroup,2006,0.01,0.01,0.02,63.6815,20.87533
Holmön,2013,1,2012,0.19,0.15,0.24,63.6815,20.87533
Holmön,2013,2,2011,0.4,0.34,0.47,63.6815,20.87533
Holmön,2013,3,2010,0.27,0.21,0.33,63.6815,20.87533
Holmön,2013,4,2009,0.09,0.07,0.12,63.6815,20.87533
Holmön,2013,5,2008,0.03,0.02,0.04,63.6815,20.87533
Holmön,2013,plusgroup,2007,0.02,0.01,0.03,63.6815,20.87533
Holmön,2014,1,2013,0.61,0.53,0.69,63.6815,20.87533
Holmön,2014,2,2012,0.13,0.09,0.17,63.6815,20.87533
Holmön,2014,3,2011,0.2,0.14,0.26,63.6815,20.87533
Holmön,2014,4,2010,0.05,0.03,0.07,63.6815,20.87533
Holmön,2014,5,2009,0.01,0.01,0.02,63.6815,20.87533
Holmön,2014,plusgroup,2008,0,0,0.01,63.6815,20.87533
Holmön,2015,1,2014,0.54,0.45,0.62,63.6815,20.87533
Holmön,2015,2,2013,0.27,0.2,0.35,63.6815,20.87533
Holmön,2015,3,2012,0.08,0.06,0.11,63.6815,20.87533
Holmön,2015,4,2011,0.1,0.07,0.13,63.6815,20.87533
Holmön,2015,5,2010,0.02,0.01,0.03,63.6815,20.87533
Holmön,2015,plusgroup,2009,0,0,0.01,63.6815,20.87533
Holmön,2016,1,2015,0.36,0.22,0.58,63.6815,20.87533
Holmön,2016,2,2014,0.27,0.16,0.39,63.6815,20.87533
Holmön,2016,3,2013,0.28,0.16,0.39,63.6815,20.87533
Holmön,2016,4,2012,0.05,0.02,0.08,63.6815,20.87533
Holmön,2016,5,2011,0.04,0.01,0.07,63.6815,20.87533
Holmön,2016,plusgroup,2010,0,0,0.01,63.6815,20.87533
Holmön,2017,1,2016,0.29,0.23,0.36,63.6815,20.87533
Holmön,2017,2,2015,0.23,0.18,0.28,63.6815,20.87533
Holmön,2017,3,2014,0.27,0.21,0.34,63.6815,20.87533
Holmön,2017,4,2013,0.19,0.14,0.25,63.6815,20.87533
Holmön,2017,5,2012,0.02,0.01,0.03,63.6815,20.87533
Holmön,2017,plusgroup,2011,0.01,0,0.01,63.6815,20.87533
Holmön,2018,1,2017,0.29,0.24,0.35,63.6815,20.87533
Holmön,2018,2,2016,0.23,0.19,0.28,63.6815,20.87533
Holmön,2018,3,2015,0.21,0.17,0.26,63.6815,20.87533
Holmön,2018,4,2014,0.18,0.14,0.23,63.6815,20.87533
Holmön,2018,5,2013,0.08,0.06,0.11,63.6815,20.87533
Holmön,2018,plusgroup,2012,0,0,0.01,63.6815,20.87533
Holmön,2019,1,2018,0.64,0.58,0.7,63.6815,20.87533
Holmön,2019,2,2017,0.12,0.1,0.15,63.6815,20.87533
Holmön,2019,3,2016,0.1,0.08,0.13,63.6815,20.87533
Holmön,2019,4,2015,0.08,0.06,0.1,63.6815,20.87533
Holmön,2019,5,2014,0.04,0.03,0.06,63.6815,20.87533
Holmön,2019,plusgroup,2013,0.01,0.01,0.02,63.6815,20.87533
Holmön,2020,1,2019,0.36,0.29,0.43,63.6815,20.87533
Holmön,2020,2,2018,0.45,0.38,0.51,63.6815,20.87533
Holmön,2020,3,2017,0.1,0.08,0.12,63.6815,20.87533
Holmön,2020,4,2016,0.06,0.04,0.08,63.6815,20.87533
Holmön,2020,5,2015,0.03,0.02,0.04,63.6815,20.87533
Holmön,2020,plusgroup,2014,0.01,0,0.02,63.6815,20.87533
Holmön,2021,1,2020,0.15,0.12,0.19,63.6815,20.87533
Holmön,2021,2,2019,0.16,0.13,0.19,63.6815,20.87533
Holmön,2021,3,2018,0.57,0.52,0.62,63.6815,20.87533
Holmön,2021,4,2017,0.09,0.07,0.12,63.6815,20.87533
Holmön,2021,5,2016,0.02,0.01,0.03,63.6815,20.87533
Holmön,2021,plusgroup,2015,0,0,0.01,63.6815,20.87533
Holmön,2022,1,2021,0.43,0.37,0.49,63.6815,20.87533
Holmön,2022,2,2020,0.1,0.08,0.12,63.6815,20.87533
Holmön,2022,3,2019,0.11,0.08,0.13,63.6815,20.87533
Holmön,2022,4,2018,0.34,0.29,0.39,63.6815,20.87533
Holmön,2022,5,2017,0.03,0.02,0.04,63.6815,20.87533
Holmön,2022,plusgroup,2016,0,0,0.01,63.6815,20.87533
Holmön,2023,1,2022,0.27,0.22,0.33,63.6815,20.87533
Holmön,2023,2,2021,0.37,0.31,0.42,63.6815,20.87533
Holmön,2023,3,2020,0.09,0.07,0.11,63.6815,20.87533
Holmön,2023,4,2019,0.09,0.07,0.11,63.6815,20.87533
Holmön,2023,5,2018,0.17,0.14,0.21,63.6815,20.87533
Holmön,2023,plusgroup,2017,0.01,0.01,0.02,63.6815,20.87533
Holmön,2024,1,2023,0.36,0.3,0.42,63.6815,20.87533
Holmön,2024,2,2022,0.19,0.15,0.23,63.6815,20.87533
Holmön,2024,3,2021,0.29,0.24,0.33,63.6815,20.87533
Holmön,2024,4,2020,0.06,0.05,0.07,63.6815,20.87533
Holmön,2024,5,2019,0.04,0.03,0.05,63.6815,20.87533
Holmön,2024,plusgroup,2018,0.07,0.05,0.09,63.6815,20.87533
Holmön,2025,1,2024,0.18,0.13,0.24,63.6815,20.87533
Holmön,2025,2,2023,0.41,0.34,0.48,63.6815,20.87533
Holmön,2025,3,2022,0.22,0.17,0.27,63.6815,20.87533
Holmön,2025,4,2021,0.14,0.1,0.2,63.6815,20.87533
Holmön,2025,5,2020,0.02,0.01,0.03,63.6815,20.87533
Holmön,2025,plusgroup,2019,0.02,0.01,0.04,63.6815,20.87533
Norrbyn,2002,1,2001,0.75,0.69,0.81,63.53367,19.83417
Norrbyn,2002,2,2000,0.07,0.04,0.09,63.53367,19.83417
Norrbyn,2002,3,1999,0.06,0.04,0.09,63.53367,19.83417
Norrbyn,2002,4,1998,0.01,0,0.02,63.53367,19.83417
Norrbyn,2002,plusgroup,1997,0.11,0.08,0.16,63.53367,19.83417
Norrbyn,2003,1,2002,0.25,0.19,0.32,63.53367,19.83417
Norrbyn,2003,2,2001,0.67,0.59,0.74,63.53367,19.83417
Norrbyn,2003,3,2000,0.04,0.03,0.07,63.53367,19.83417
Norrbyn,2003,4,1999,0.01,0,0.02,63.53367,19.83417
Norrbyn,2003,plusgroup,1998,0.03,0.01,0.04,63.53367,19.83417
Norrbyn,2004,1,2003,0.69,0.63,0.74,63.53367,19.83417
Norrbyn,2004,2,2002,0.12,0.09,0.15,63.53367,19.83417
Norrbyn,2004,3,2001,0.19,0.14,0.24,63.53367,19.83417
Norrbyn,2004,4,2000,0,0,0.01,63.53367,19.83417
Norrbyn,2004,plusgroup,1999,0,0,0.01,63.53367,19.83417
Norrbyn,2005,1,2004,0.05,0.04,0.07,63.53367,19.83417
Norrbyn,2005,2,2003,0.78,0.74,0.82,63.53367,19.83417
Norrbyn,2005,3,2002,0.11,0.08,0.14,63.53367,19.83417
Norrbyn,2005,4,2001,0.05,0.04,0.08,63.53367,19.83417
Norrbyn,2005,plusgroup,2000,0,0,0.01,63.53367,19.83417
Norrbyn,2006,1,2005,0.09,0.07,0.12,63.53367,19.83417
Norrbyn,2006,2,2004,0.06,0.04,0.08,63.53367,19.83417
Norrbyn,2006,3,2003,0.78,0.73,0.82,63.53367,19.83417
Norrbyn,2006,4,2002,0.05,0.04,0.07,63.53367,19.83417
Norrbyn,2006,plusgroup,2001,0.02,0.01,0.03,63.53367,19.83417
Norrbyn,2007,1,2006,0.33,0.27,0.39,63.53367,19.83417
Norrbyn,2007,2,2005,0.13,0.1,0.16,63.53367,19.83417
Norrbyn,2007,3,2004,0.07,0.05,0.09,63.53367,19.83417
Norrbyn,2007,4,2003,0.46,0.39,0.53,63.53367,19.83417
Norrbyn,2007,plusgroup,2002,0.02,0.01,0.03,63.53367,19.83417
Norrbyn,2008,1,2007,0.3,0.25,0.36,63.53367,19.83417
Norrbyn,2008,2,2006,0.37,0.31,0.43,63.53367,19.83417
Norrbyn,2008,3,2005,0.13,0.1,0.16,63.53367,19.83417
Norrbyn,2008,4,2004,0.04,0.02,0.05,63.53367,19.83417
Norrbyn,2008,plusgroup,2003,0.16,0.11,0.22,63.53367,19.83417
Norrbyn,2009,1,2008,0.07,0.04,0.1,63.53367,19.83417
Norrbyn,2009,2,2007,0.45,0.37,0.55,63.53367,19.83417
Norrbyn,2009,3,2006,0.4,0.29,0.49,63.53367,19.83417
Norrbyn,2009,4,2005,0.06,0.03,0.08,63.53367,19.83417
Norrbyn,2009,plusgroup,2004,0.03,0.01,0.05,63.53367,19.83417
Norrbyn,2010,1,2009,0.37,0.3,0.46,63.53367,19.83417
Norrbyn,2010,2,2008,0.08,0.06,0.12,63.53367,19.83417
Norrbyn,2010,3,2007,0.42,0.33,0.51,63.53367,19.83417
Norrbyn,2010,4,2006,0.11,0.06,0.16,63.53367,19.83417
Norrbyn,2010,plusgroup,2005,0.01,0,0.03,63.53367,19.83417
Norrbyn,2011,1,2010,0.43,0.36,0.5,63.53367,19.83417
Norrbyn,2011,2,2009,0.36,0.29,0.43,63.53367,19.83417
Norrbyn,2011,3,2008,0.07,0.05,0.1,63.53367,19.83417
Norrbyn,2011,4,2007,0.11,0.07,0.16,63.53367,19.83417
Norrbyn,2011,plusgroup,2006,0.02,0.01,0.04,63.53367,19.83417
Norrbyn,2012,1,2011,0.53,0.45,0.6,63.53367,19.83417
Norrbyn,2012,2,2010,0.27,0.22,0.32,63.53367,19.83417
Norrbyn,2012,3,2009,0.19,0.13,0.25,63.53367,19.83417
Norrbyn,2012,4,2008,0.01,0,0.01,63.53367,19.83417
Norrbyn,2012,plusgroup,2007,0.01,0,0.02,63.53367,19.83417
